"Status";"Live-URL";"Live-Pfad";"Static-Dateipfad";"Static-URL (abgeleitet)";"Static-Pfad";"Hinweis"
"Beide";"https://igienair.de/";"/";"index.html";"https://igienair.de/";"/";""
"Beide";"https://igienair.de/anlagen";"/anlagen/";"anlagen/index.html";"https://igienair.de/anlagen/";"/anlagen/";""
"Beide";"https://igienair.de/anlagen/kuechenabluftsysteme";"/anlagen/kuechenabluftsysteme/";"anlagen/kuechenabluftsysteme/index.html";"https://igienair.de/anlagen/kuechenabluftsysteme/";"/anlagen/kuechenabluftsysteme/";""
"Beide";"https://igienair.de/anlagen/kuehlregale";"/anlagen/kuehlregale/";"anlagen/kuehlregale/index.html";"https://igienair.de/anlagen/kuehlregale/";"/anlagen/kuehlregale/";""
"Beide";"https://igienair.de/anlagen/kuehlsysteme";"/anlagen/kuehlsysteme/";"anlagen/kuehlsysteme/index.html";"https://igienair.de/anlagen/kuehlsysteme/";"/anlagen/kuehlsysteme/";""
"Beide";"https://igienair.de/anlagen/kuehlturmreinigung";"/anlagen/kuehlturmreinigung/";"anlagen/kuehlturmreinigung/index.html";"https://igienair.de/anlagen/kuehlturmreinigung/";"/anlagen/kuehlturmreinigung/";""
"Beide";"https://igienair.de/anlagen/laborabzuege";"/anlagen/laborabzuege/";"anlagen/laborabzuege/index.html";"https://igienair.de/anlagen/laborabzuege/";"/anlagen/laborabzuege/";""
"Beide";"https://igienair.de/anlagen/lueftungsanlagenreinigung";"/anlagen/lueftungsanlagenreinigung/";"anlagen/lueftungsanlagenreinigung/index.html";"https://igienair.de/anlagen/lueftungsanlagenreinigung/";"/anlagen/lueftungsanlagenreinigung/";""
"Beide";"https://igienair.de/anlagen/lueftungsreinigung";"/anlagen/lueftungsreinigung/";"anlagen/lueftungsreinigung/index.html";"https://igienair.de/anlagen/lueftungsreinigung/";"/anlagen/lueftungsreinigung/";""
"Beide";"https://igienair.de/anlagen/luftkanalreinigung";"/anlagen/luftkanalreinigung/";"anlagen/luftkanalreinigung/index.html";"https://igienair.de/anlagen/luftkanalreinigung/";"/anlagen/luftkanalreinigung/";""
"Beide";"https://igienair.de/anlagen/op-raum-pruefung";"/anlagen/op-raum-pruefung/";"anlagen/op-raum-pruefung/index.html";"https://igienair.de/anlagen/op-raum-pruefung/";"/anlagen/op-raum-pruefung/";""
"Beide";"https://igienair.de/anlagen/prozessabluft-und-entrauchungsanlagen";"/anlagen/prozessabluft-und-entrauchungsanlagen/";"anlagen/prozessabluft-und-entrauchungsanlagen/index.html";"https://igienair.de/anlagen/prozessabluft-und-entrauchungsanlagen/";"/anlagen/prozessabluft-und-entrauchungsanlagen/";""
"Beide";"https://igienair.de/anlagen/raumluftdesinfektion";"/anlagen/raumluftdesinfektion/";"anlagen/raumluftdesinfektion/index.html";"https://igienair.de/anlagen/raumluftdesinfektion/";"/anlagen/raumluftdesinfektion/";""
"Beide";"https://igienair.de/anlagen/rechenzentrum";"/anlagen/rechenzentrum/";"anlagen/rechenzentrum/index.html";"https://igienair.de/anlagen/rechenzentrum/";"/anlagen/rechenzentrum/";""
"Beide";"https://igienair.de/anlagen/reinraumqualifizierung";"/anlagen/reinraumqualifizierung/";"anlagen/reinraumqualifizierung/index.html";"https://igienair.de/anlagen/reinraumqualifizierung/";"/anlagen/reinraumqualifizierung/";""
"Beide";"https://igienair.de/anlagen/splitklimageraete-und-umluftkuehlgeraete";"/anlagen/splitklimageraete-und-umluftkuehlgeraete/";"anlagen/splitklimageraete-und-umluftkuehlgeraete/index.html";"https://igienair.de/anlagen/splitklimageraete-und-umluftkuehlgeraete/";"/anlagen/splitklimageraete-und-umluftkuehlgeraete/";""
"Beide";"https://igienair.de/anlagen/textilschlaeuche";"/anlagen/textilschlaeuche/";"anlagen/textilschlaeuche/index.html";"https://igienair.de/anlagen/textilschlaeuche/";"/anlagen/textilschlaeuche/";""
"Beide";"https://igienair.de/anlagen/verdampfer-und-kondensatoren";"/anlagen/verdampfer-und-kondensatoren/";"anlagen/verdampfer-und-kondensatoren/index.html";"https://igienair.de/anlagen/verdampfer-und-kondensatoren/";"/anlagen/verdampfer-und-kondensatoren/";""
"Beide";"https://igienair.de/branchen";"/branchen/";"branchen/index.html";"https://igienair.de/branchen/";"/branchen/";""
"Beide";"https://igienair.de/cookie-richtlinie-eu";"/cookie-richtlinie-eu/";"cookie-richtlinie-eu/index.html";"https://igienair.de/cookie-richtlinie-eu/";"/cookie-richtlinie-eu/";""
"Beide";"https://igienair.de/datenschutz";"/datenschutz/";"datenschutz/index.html";"https://igienair.de/datenschutz/";"/datenschutz/";""
"Beide";"https://igienair.de/downloads";"/downloads/";"downloads/index.html";"https://igienair.de/downloads/";"/downloads/";""
"Beide";"https://igienair.de/energetische-inspektion-geg-2020";"/energetische-inspektion-geg-2020/";"energetische-inspektion-geg-2020/index.html";"https://igienair.de/energetische-inspektion-geg-2020/";"/energetische-inspektion-geg-2020/";""
"Beide";"https://igienair.de/filterintegritaetstest";"/filterintegritaetstest/";"filterintegritaetstest/index.html";"https://igienair.de/filterintegritaetstest/";"/filterintegritaetstest/";""
"Beide";"https://igienair.de/gastronomie";"/gastronomie/";"kunden/gastronomie/index.html";"https://igienair.de/kunden/gastronomie/";"/kunden/gastronomie/";""
"Beide";"https://igienair.de/gefaehrdungsbeurteilung-vdi-2047";"/gefaehrdungsbeurteilung-vdi-2047/";"gefaehrdungsbeurteilung-vdi-2047/index.html";"https://igienair.de/gefaehrdungsbeurteilung-vdi-2047/";"/gefaehrdungsbeurteilung-vdi-2047/";""
"Beide";"https://igienair.de/gemeinden";"/gemeinden/";"kunden/gemeinden/index.html";"https://igienair.de/kunden/gemeinden/";"/kunden/gemeinden/";""
"Beide";"https://igienair.de/gesundheitswesen";"/gesundheitswesen/";"kunden/gesundheit/index.html";"https://igienair.de/kunden/gesundheit/";"/kunden/gesundheit/";""
